subject,id,tp,group
gds200120_3217.0j1,3217,5mo,TBI
gds200120_3218.0j1,3218,5mo,TBI
gds180131_3001.LI1,3001,9d,Sham
gds180131_3003.LI1,3003,9d,Sham
gds180131_3004.LI1,3004,9d,Sham
gds180131_3006.LI1,3006,9d,Sham
gds180131_3007.LJ1,3007,9d,Sham
gds180131_3008.LJ1,3008,9d,Sham
gds180223_045.M51,45,9d,TBI
gds180223_3016.M51,3016,9d,TBI
gds180307_3022.Mh1,3022,9d,TBI
gds180307_3024.Mh1,3024,9d,TBI
gds180307_3026.Mh1,3026,9d,TBI
gds180307_3027.Mh1,3027,9d,TBI
gds180307_3028.Mi1,3028,9d,TBI
gds180307_3029.Mi1,3029,9d,Sham
gds180309_3030.Mj1,3030,9d,TBI
gds180309_3032.Mj1,3032,9d,TBI
gds180309_3034.Mj1,3034,9d,TBI
gds180309_3037.Mj1,3037,9d,TBI
gds180309_3038.Mk1,3038,9d,Sham
gds180327_3043.MC1,3043,9d,TBI
gds180424_3072.N31,3072,9d,TBI
gds180424_3073.N31,3073,9d,TBI
gds180424_3074.N31,3074,9d,TBI
gds180424_3075.N31,3075,9d,Sham
gds180920_3116.Ps1,3116,9d,TBI
gds180920_3118.Ps1,3118,9d,Sham
gds180920_3119.Ps1,3119,9d,TBI
gds180920_3120.Ps1,3120,9d,Sham
gds180921_3106.Pt1,3106,9d,TBI
gds180921_3107.Pt1,3107,9d,TBI
gds180921_3124.Pt1,3124,9d,TBI
gds180921_3126.Pt1,3126,9d,TBI
gds180921_3127.Pu1,3127,9d,TBI
gds180921_3128.Pu1,3128,9d,TBI
gds190111_3139.Ri1,3139,9d,TBI
gds190111_3141.Ri1,3141,9d,TBI
gds190111_3144.Ri1,3144,9d,Sham
gds190314_3152.Si1,3152,9d,TBI
gds190314_3153.Si1,3153,9d,TBI
gds190314_3154.Si1,3154,9d,TBI
gds190314_3162.Si1,3162,9d,TBI
gds190314_3164.Sj1,3164,9d,TBI
gds190911_3209.Vd1,3209,9d,TBI
gds190911_3210.Vd1,3210,9d,TBI
gds190911_3217.Vd1,3217,9d,TBI
gds190911_3218.Vd1,3218,9d,TBI
